Store,Date,Action,Urgency,Gap_Units,Reason
1,2012-01-01,STABLE,LOW,2713.34,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.89 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-01-08,STABLE,LOW,3091.52,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.87 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-01-15,STABLE,LOW,600.0,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.03 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-01-22,STABLE,LOW,598.82,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.98 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-01-29,STABLE,LOW,102.96,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.00 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-02-05,STABLE,LOW,3382.89,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.86 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-02-12,STABLE,LOW,1181.64,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.05 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-02-19,STABLE,LOW,506.32,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.02 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-02-26,STABLE,LOW,2656.7,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.90 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-03-04,SHORTAGE,MEDIUM,2886.53,"Demand is HIGH (Demand 111.2% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.90 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-03-11,SHORTAGE,MEDIUM,2994.44,"Demand is HIGH (Demand 115.7% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.90 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-03-18,SHORTAGE,MEDIUM,2294.95,"Demand is HIGH (Demand 113.8% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.92 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-03-25,SHORTAGE,MEDIUM,1086.99,"Demand is HIGH (Demand 111.8% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.96 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-04-01,STABLE,LOW,1551.21,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.94 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-04-08,SHORTAGE,MEDIUM,2344.36,"Demand is HIGH (Demand 112.8% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.92 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-04-15,SHORTAGE,MEDIUM,672.73,"Demand is HIGH (Demand 120.1% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.98 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-04-22,SHORTAGE,MEDIUM,3317.8,"Demand is HIGH (Demand 118.6% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.89 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-04-29,SHORTAGE,MEDIUM,2408.34,"Demand is HIGH (Demand 116.1% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.92 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-05-06,SHORTAGE,MEDIUM,1970.92,"Demand is HIGH (Demand 114.4% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.93 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-05-13,STABLE,LOW,1402.76,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.95 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-05-20,STABLE,LOW,279.45,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.01 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-05-27,SHORTAGE,MEDIUM,2823.25,"Demand is HIGH (Demand 112.4% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.90 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-06-03,SHORTAGE,MEDIUM,1130.78,"Demand is HIGH (Demand 110.6% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.96 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-06-10,STABLE,LOW,717.15,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.97 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-06-17,SHORTAGE,MEDIUM,3578.95,"Demand is HIGH (Demand 110.5% above store average (24,768)). Inventory is ADEQUATE (Stock covers 0.87 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
1,2012-06-24,STABLE,LOW,629.75,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.98 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-07-01,STABLE,LOW,2692.96,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.89 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-07-08,STABLE,LOW,3243.38,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.87 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-07-15,STABLE,LOW,1065.46,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.04 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-07-22,STABLE,LOW,1068.12,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.05 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-07-29,STABLE,LOW,369.97,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.01 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-08-05,STABLE,LOW,1923.83,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.92 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-08-12,STABLE,LOW,2760.01,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.88 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-08-19,STABLE,LOW,210.75,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.99 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-08-26,STABLE,LOW,1298.67,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.94 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-09-02,STABLE,LOW,2777.44,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.88 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-09-09,STABLE,LOW,1062.71,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.96 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-09-16,SURPLUS,LOW,2958.03,"Demand is LOW (Demand 89.8% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.87 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-09-23,SURPLUS,LOW,710.27,"Demand is LOW (Demand 83.7% below store average (24,768)). Inventory is ADEQUATE (Stock covers 1.03 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-09-30,SURPLUS,LOW,1784.12,"Demand is LOW (Demand 79.9% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.91 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-10-07,SURPLUS,LOW,267.51,"Demand is LOW (Demand 83.5% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.99 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-10-14,SURPLUS,LOW,1688.49,"Demand is LOW (Demand 85.2% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.92 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-10-21,STABLE,LOW,909.19,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.96 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-10-28,STABLE,LOW,800.25,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.96 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-11-04,STABLE,LOW,2335.07,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 0.90 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-11-11,SURPLUS,LOW,997.52,"Demand is LOW (Demand 88.0% below store average (24,768)). Inventory is ADEQUATE (Stock covers 1.05 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-11-18,SURPLUS,LOW,177.77,"Demand is LOW (Demand 83.4% below store average (24,768)). Inventory is ADEQUATE (Stock covers 1.01 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-11-25,SURPLUS,LOW,870.43,"Demand is LOW (Demand 87.8% below store average (24,768)). Inventory is ADEQUATE (Stock covers 1.04 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-12-02,SURPLUS,LOW,674.29,"Demand is LOW (Demand 86.5% below store average (24,768)). Inventory is ADEQUATE (Stock covers 1.03 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-12-09,SURPLUS,LOW,562.75,"Demand is LOW (Demand 89.9% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.97 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-12-16,STABLE,LOW,824.45,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.04 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-12-23,SURPLUS,LOW,2667.49,"Demand is LOW (Demand 87.8% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.88 weeks — healthy level). → Action: SURPLUS with LOW urgency."
2,2012-01-01,STABLE,LOW,3569.93,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.20 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-01-08,STABLE,LOW,2951.28,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-01-15,SURPLUS,LOW,4512.59,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-01-22,SURPLUS,LOW,4668.3,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-01-29,SURPLUS,LOW,4187.88,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.21 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-02-05,SURPLUS,LOW,7013.18,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.36 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-02-12,SURPLUS,LOW,4718.16,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-02-19,STABLE,LOW,4391.46,"Demand is HIGH (Demand 110.2% above store average (18,353)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-02-26,STABLE,LOW,5851.67,"Demand is HIGH (Demand 112.4% above store average (18,353)). Inventory is EXCESS (1.28 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-03-04,SHORTAGE,MEDIUM,3817.64,"Demand is HIGH (Demand 114.6% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.18 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-03-11,SURPLUS,LOW,7015.51,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.35 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-03-18,STABLE,LOW,3244.73,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-03-25,SURPLUS,LOW,7745.92,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.40 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-04-01,SURPLUS,LOW,6757.45,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-04-08,SHORTAGE,MEDIUM,4054.54,"Demand is HIGH (Demand 112.6% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.20 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-04-15,SHORTAGE,MEDIUM,3191.78,"Demand is HIGH (Demand 118.3% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.15 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-04-22,STABLE,LOW,7457.26,"Demand is HIGH (Demand 115.0% above store average (18,353)). Inventory is EXCESS (1.35 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-04-29,STABLE,LOW,6990.74,"Demand is HIGH (Demand 117.0% above store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-05-06,STABLE,LOW,7158.6,"Demand is HIGH (Demand 117.8% above store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-05-13,STABLE,LOW,7308.28,"Demand is HIGH (Demand 116.5% above store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-05-20,SHORTAGE,MEDIUM,3495.63,"Demand is HIGH (Demand 115.8% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-05-27,STABLE,LOW,4869.93,"Demand is HIGH (Demand 112.0% above store average (18,353)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-06-03,SHORTAGE,MEDIUM,3602.61,"Demand is HIGH (Demand 112.1% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.18 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-06-10,SURPLUS,LOW,7277.07,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.37 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-06-17,SURPLUS,LOW,5937.3,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.30 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-06-24,SURPLUS,LOW,4509.62,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-01,STABLE,LOW,3041.09,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-07-08,SURPLUS,LOW,4112.1,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-15,SURPLUS,LOW,4271.96,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-22,SURPLUS,LOW,5828.02,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-29,SURPLUS,LOW,5412.89,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.31 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-08-05,SURPLUS,LOW,6599.43,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.37 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-08-12,SURPLUS,LOW,4639.07,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.27 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
